coluna,secao,tipo,escala_dominio,descricao
respondent_id,Metadados,Inteiro,-,"Identificador sequencial do respondente (não é o militar real, apenas a linha)."
data_resposta,Metadados,Data (AAAA-MM-DD),-,Data simulada de preenchimento.
om,Caracterização,Categórica,11 OM da 3ª Bda C Mec,Organização Militar do respondente.
posto_graduacao,Caracterização,Categórica,14 postos/graduações específicos,"Do General ao Soldado (EV), sem agrupamento."
vinculo,Caracterização,Categórica,De Carreira / Temporário,Tipo de vínculo com o Exército.
escolaridade,Caracterização,Categórica,9 níveis,Maior formação concluída.
s1_estado_civil,Seção 1,Categórica,4 opções,Estado civil / situação familiar.
s1_familia_mesma_cidade,Seção 1,Categórica,3 opções,Se a família mora na mesma cidade.
s1_q3_concilia_trabalho_familia,Seção 1 — Família,Escala,1 a 4 (Discordo totalmente → Concordo totalmente),Consegue equilibrar trabalho e família.
s1_q4_familia_apoia,Seção 1 — Família,Escala,1 a 4,Família entende e apoia a profissão.
s1_q5_cidade_boas_condicoes,Seção 1 — Família,Escala,1 a 4,Cidade oferece boas condições de vida.
s1_ativ_fisica_freq_semana,Seção 1,Categórica,4 faixas,Quantas vezes por semana pratica atividade física.
s1_q7_tempo_descanso,Seção 1 — Rotina,Escala,1 a 4,Tem tempo para descanso/lazer.
s1_q8_dorme_bem,Seção 1 — Rotina,Escala,1 a 4,Dorme bem / acorda descansado.
s1_q9_rotina_ativ_fisica_satisfatoria,Seção 1 — Rotina,Escala,1 a 4,Rotina de atividade física satisfatória.
s1_nota_qualidade_vida,Seção 1 — Qualidade de vida,Nota,0 a 10,Nota geral de qualidade de vida (últimas 2–4 semanas).
s1_nota_qualidade_vida_justificativa,Seção 1 — Qualidade de vida,Texto (obrigatório),-,Justificativa da nota de qualidade de vida.
s1_nota_equilibrio_trabalho_vida,Seção 1 — Qualidade de vida,Nota,0 a 10,Nota de equilíbrio trabalho/vida pessoal.
s1_nota_equilibrio_trabalho_vida_justificativa,Seção 1 — Qualidade de vida,Texto (obrigatório),-,Justificativa da nota de equilíbrio.
s1_nota_bemestar_fisico,Seção 1 — Qualidade de vida,Nota,0 a 10,Nota de bem-estar físico.
s1_nota_bemestar_fisico_justificativa,Seção 1 — Qualidade de vida,Texto (obrigatório),-,Justificativa da nota de bem-estar físico.
s1_nota_bemestar_emocional,Seção 1 — Qualidade de vida,Nota,0 a 10,Nota de bem-estar emocional.
s1_nota_bemestar_emocional_justificativa,Seção 1 — Qualidade de vida,Texto (obrigatório),-,Justificativa da nota de bem-estar emocional.
s1_q14_fe_forca_equilibrio,Seção 1 — Espiritualidade,Escala,1 a 4,Fé/espiritualidade como fonte de força.
s1_q15_vive_religiao_sem_constrangimento,Seção 1 — Espiritualidade,Escala,1 a 4,Vive a religião no trabalho sem constrangimento.
s1_q16_om_respeita_liberdade_religiosa,Seção 1 — Espiritualidade,Escala,1 a 4,OM respeita liberdade religiosa.
s1_comentario,Seção 1,Texto (obrigatório),-,Comentário livre sobre vida pessoal/familiar.
s2_nota_sabor_rancho,Seção 2 — Rancho,Nota,0 a 10,"Nota para o sabor/tempero — ""Considerando o sabor e o tempero, qual é seu nível de satisfação com a comida servida no rancho?"""
s2_nota_sabor_rancho_justificativa,Seção 2 — Rancho,Texto (obrigatório),-,Justificativa da nota de sabor.
s2_nota_variedade_cardapio,Seção 2 — Rancho,Nota,0 a 10,Nota para variedade do cardápio.
s2_nota_variedade_cardapio_justificativa,Seção 2 — Rancho,Texto (obrigatório),-,Justificativa da nota de variedade.
s2_nota_quantidade_comida,Seção 2 — Rancho,Nota,0 a 10,Nota para quantidade de comida servida.
s2_nota_quantidade_comida_justificativa,Seção 2 — Rancho,Texto (obrigatório),-,Justificativa da nota de quantidade.
s2_nota_limpeza_rancho,Seção 2 — Rancho,Nota,0 a 10,Nota para limpeza/higiene do rancho.
s2_nota_limpeza_rancho_justificativa,Seção 2 — Rancho,Texto (obrigatório),-,Justificativa da nota de limpeza.
s2_q5_local_boas_condicoes,Seção 2 — Alojamento,Escala,1 a 4,Local de trabalho em boas condições.
s2_q6_alojamento_limpo,Seção 2 — Alojamento,Escala,1 a 4,Alojamento limpo e organizado.
s2_q7_alojamento_boas_condicoes,Seção 2 — Alojamento,Escala,1 a 4,Alojamento com boas condições de acomodação.
s2_q8_banheiros_boas_condicoes,Seção 2 — Alojamento,Escala,1 a 4,Banheiros em boas condições.
s2_q9_materiais_equipamentos,Seção 2 — Estrutura,Escala,1 a 4,Tem os materiais/equipamentos necessários.
s2_q10_carga_trabalho_adequada,Seção 2 — Estrutura,Escala,1 a 4,Carga de trabalho compatível com tempo/efetivo.
s2_q11_funcoes_claras,Seção 2 — Estrutura,Escala,1 a 4,Funções claras e bem definidas.
s2_equipamentos_texto,Seção 2,Texto (aberto),-,Se o Exército fornece os equipamentos necessários (pergunta textual).
s2_q13_superiores_reconhecem,Seção 2 — Liderança,Escala,1 a 4,Superiores reconhecem e valorizam o trabalho.
s2_q14_bom_relacionamento_colegas,Seção 2 — Liderança,Escala,1 a 4,Bom relacionamento com colegas.
s2_q15_superiores_orientam_apoiam,Seção 2 — Liderança,Escala,1 a 4,Superiores orientam e apoiam.
s2_q16_oportunidades_cursos,Seção 2 — Carreira,Escala,1 a 4,Oportunidades de capacitação.
s2_q17_chances_crescer_carreira,Seção 2 — Carreira,Escala,1 a 4,Chances reais de crescer na carreira.
s2_nota_orgulho_om,Seção 2 — Carreira,Nota,0 a 10,Orgulho de pertencer à OM.
s2_nota_orgulho_om_justificativa,Seção 2 — Carreira,Texto (obrigatório),-,Justificativa da nota de orgulho.
s2_melhoria_texto,Seção 2,Texto (obrigatório),-,Principal ponto a melhorar nas condições de trabalho.
s3_q1_energia_disposicao_freq,Seção 3 — Estado emocional,Frequência,1 a 5 (Nunca → Todo dia),Frequência de se sentir com energia/disposição.
s3_q2_sobrecarregado_freq,Seção 3 — Estado emocional,Frequência,1 a 5,Frequência de sobrecarga/pressão excessiva.
